DATE;CUSTOMER;QUANTITY
05/02/2016;NUTRAVANCE;82
08/02/2016;NUTRAVANCE;49
09/02/2016;NUTRAVANCE;50
10/02/2016;NUTRAVANCE;199
11/02/2016;NUTRAVANCE;27
12/02/2016;NUTRAVANCE;55
15/02/2016;NUTRAVANCE;54
16/02/2016;NUTRAVANCE;47
18/02/2016;NUTRAVANCE;195
19/02/2016;NUTRAVANCE;50
22/02/2016;NUTRAVANCE;58
23/02/2016;NUTRAVANCE;15
24/02/2016;NUTRAVANCE;34
25/02/2016;NUTRAVANCE;70
26/02/2016;NUTRAVANCE;64
29/02/2016;NUTRAVANCE;49
01/03/2016;NUTRAVANCE;13
02/03/2016;NUTRAVANCE;211
03/03/2016;NUTRAVANCE;126
04/03/2016;NUTRAVANCE;129
07/03/2016;NUTRAVANCE;76
08/03/2016;NUTRAVANCE;92
09/03/2016;NUTRAVANCE;94
10/03/2016;NUTRAVANCE;43
11/03/2016;NUTRAVANCE;55
14/03/2016;NUTRAVANCE;45
15/03/2016;NUTRAVANCE;44
16/03/2016;NUTRAVANCE;164
17/03/2016;NUTRAVANCE;66
18/03/2016;NUTRAVANCE;45
21/03/2016;NUTRAVANCE;78
22/03/2016;NUTRAVANCE;52
23/03/2016;NUTRAVANCE;98
24/03/2016;NUTRAVANCE;68
25/03/2016;NUTRAVANCE;47
29/03/2016;NUTRAVANCE;86
30/03/2016;NUTRAVANCE;179
31/03/2016;NUTRAVANCE;154
01/04/2016;NUTRAVANCE;109
04/04/2016;NUTRAVANCE;197
05/04/2016;NUTRAVANCE;84
06/04/2016;NUTRAVANCE;90
07/04/2016;NUTRAVANCE;93
08/04/2016;NUTRAVANCE;93
11/04/2016;NUTRAVANCE;55
12/04/2016;NUTRAVANCE;43
13/04/2016;NUTRAVANCE;134
14/04/2016;NUTRAVANCE;83
15/04/2016;NUTRAVANCE;13
18/04/2016;NUTRAVANCE;59
19/04/2016;NUTRAVANCE;120
20/04/2016;NUTRAVANCE;32
21/04/2016;NUTRAVANCE;105
22/04/2016;NUTRAVANCE;64
25/04/2016;NUTRAVANCE;63
26/04/2016;NUTRAVANCE;42
27/04/2016;NUTRAVANCE;72
28/04/2016;NUTRAVANCE;57
29/04/2016;NUTRAVANCE;90
02/05/2016;NUTRAVANCE;47
03/05/2016;NUTRAVANCE;57
04/05/2016;NUTRAVANCE;159
06/05/2016;NUTRAVANCE;50
10/05/2016;NUTRAVANCE;58
11/05/2016;NUTRAVANCE;122
12/05/2016;NUTRAVANCE;27
13/05/2016;NUTRAVANCE;38
17/05/2016;NUTRAVANCE;116
18/05/2016;NUTRAVANCE;105
19/05/2016;NUTRAVANCE;53
20/05/2016;NUTRAVANCE;122
23/05/2016;NUTRAVANCE;63
24/05/2016;NUTRAVANCE;52
25/05/2016;NUTRAVANCE;125
26/05/2016;NUTRAVANCE;59
27/05/2016;NUTRAVANCE;76
30/05/2016;NUTRAVANCE;37
31/05/2016;NUTRAVANCE;35
01/06/2016;NUTRAVANCE;75
02/06/2016;NUTRAVANCE;106
03/06/2016;NUTRAVANCE;72
06/06/2016;NUTRAVANCE;56
07/06/2016;NUTRAVANCE;47
08/06/2016;NUTRAVANCE;148
09/06/2016;NUTRAVANCE;13
10/06/2016;NUTRAVANCE;67
13/06/2016;NUTRAVANCE;69
14/06/2016;NUTRAVANCE;40
15/06/2016;NUTRAVANCE;123
16/06/2016;NUTRAVANCE;48
17/06/2016;NUTRAVANCE;24
20/06/2016;NUTRAVANCE;54
21/06/2016;NUTRAVANCE;47
22/06/2016;NUTRAVANCE;102
23/06/2016;NUTRAVANCE;73
24/06/2016;NUTRAVANCE;56
27/06/2016;NUTRAVANCE;64
28/06/2016;NUTRAVANCE;66
29/06/2016;NUTRAVANCE;102
30/06/2016;NUTRAVANCE;41
01/07/2016;NUTRAVANCE;32
04/07/2016;NUTRAVANCE;100
05/07/2016;NUTRAVANCE;11
06/07/2016;NUTRAVANCE;137
07/07/2016;NUTRAVANCE;53
08/07/2016;NUTRAVANCE;24
11/07/2016;NUTRAVANCE;54
12/07/2016;NUTRAVANCE;84
13/07/2016;NUTRAVANCE;52
15/07/2016;NUTRAVANCE;73
18/07/2016;NUTRAVANCE;45
19/07/2016;NUTRAVANCE;75
20/07/2016;NUTRAVANCE;57
21/07/2016;NUTRAVANCE;75
22/07/2016;NUTRAVANCE;78
25/07/2016;NUTRAVANCE;12
26/07/2016;NUTRAVANCE;75
27/07/2016;NUTRAVANCE;157
28/07/2016;NUTRAVANCE;69
29/07/2016;NUTRAVANCE;71
01/08/2016;NUTRAVANCE;57
03/08/2016;NUTRAVANCE;12
08/08/2016;NUTRAVANCE;2
10/08/2016;NUTRAVANCE;21
16/08/2016;NUTRAVANCE;5
18/08/2016;NUTRAVANCE;21
23/08/2016;NUTRAVANCE;234
24/08/2016;NUTRAVANCE;90
25/08/2016;NUTRAVANCE;63
26/08/2016;NUTRAVANCE;39
29/08/2016;NUTRAVANCE;32
30/08/2016;NUTRAVANCE;36
31/08/2016;NUTRAVANCE;53
01/09/2016;NUTRAVANCE;38
02/09/2016;NUTRAVANCE;80
05/09/2016;NUTRAVANCE;183
06/09/2016;NUTRAVANCE;241
07/09/2016;NUTRAVANCE;134
08/09/2016;NUTRAVANCE;268
09/09/2016;NUTRAVANCE;215
12/09/2016;NUTRAVANCE;233
13/09/2016;NUTRAVANCE;282
14/09/2016;NUTRAVANCE;227
15/09/2016;NUTRAVANCE;274
16/09/2016;NUTRAVANCE;189
19/09/2016;NUTRAVANCE;140
20/09/2016;NUTRAVANCE;62
21/09/2016;NUTRAVANCE;59
22/09/2016;NUTRAVANCE;53
23/09/2016;NUTRAVANCE;92
26/09/2016;NUTRAVANCE;78
27/09/2016;NUTRAVANCE;77
28/09/2016;NUTRAVANCE;53
29/09/2016;NUTRAVANCE;112
30/09/2016;NUTRAVANCE;54
03/10/2016;NUTRAVANCE;57
04/10/2016;NUTRAVANCE;188
05/10/2016;NUTRAVANCE;133
06/10/2016;NUTRAVANCE;175
07/10/2016;NUTRAVANCE;78
10/10/2016;NUTRAVANCE;113
11/10/2016;NUTRAVANCE;117
12/10/2016;NUTRAVANCE;74
13/10/2016;NUTRAVANCE;144
14/10/2016;NUTRAVANCE;171
17/10/2016;NUTRAVANCE;153
18/10/2016;NUTRAVANCE;103
19/10/2016;NUTRAVANCE;95
20/10/2016;NUTRAVANCE;75
21/10/2016;NUTRAVANCE;41
24/10/2016;NUTRAVANCE;71
25/10/2016;NUTRAVANCE;116
26/10/2016;NUTRAVANCE;136
27/10/2016;NUTRAVANCE;85
28/10/2016;NUTRAVANCE;49
31/10/2016;NUTRAVANCE;75
02/11/2016;NUTRAVANCE;71
03/11/2016;NUTRAVANCE;62
04/11/2016;NUTRAVANCE;35
07/11/2016;NUTRAVANCE;172
08/11/2016;NUTRAVANCE;106
09/11/2016;NUTRAVANCE;107
10/11/2016;NUTRAVANCE;192
14/11/2016;NUTRAVANCE;63
15/11/2016;NUTRAVANCE;148
16/11/2016;NUTRAVANCE;158
17/11/2016;NUTRAVANCE;67
18/11/2016;NUTRAVANCE;140
21/11/2016;NUTRAVANCE;62
22/11/2016;NUTRAVANCE;143
23/11/2016;NUTRAVANCE;63
24/11/2016;NUTRAVANCE;65
25/11/2016;NUTRAVANCE;73
28/11/2016;NUTRAVANCE;135
29/11/2016;NUTRAVANCE;93
30/11/2016;NUTRAVANCE;82
01/12/2016;NUTRAVANCE;88
02/12/2016;NUTRAVANCE;80
03/12/2016;NUTRAVANCE;96
06/12/2016;NUTRAVANCE;105
07/12/2016;NUTRAVANCE;129
08/12/2016;NUTRAVANCE;188
09/12/2016;NUTRAVANCE;67
10/12/2016;NUTRAVANCE;81
13/12/2016;NUTRAVANCE;97
14/12/2016;NUTRAVANCE;138
15/12/2016;NUTRAVANCE;94
16/12/2016;NUTRAVANCE;120
17/12/2016;NUTRAVANCE;222
20/12/2016;NUTRAVANCE;96
21/12/2016;NUTRAVANCE;81
22/12/2016;NUTRAVANCE;29
23/12/2016;NUTRAVANCE;79
26/12/2016;NUTRAVANCE;65
27/12/2016;NUTRAVANCE;6
28/12/2016;NUTRAVANCE;10
03/01/2017;NUTRAVANCE;156
04/01/2017;NUTRAVANCE;96
05/01/2017;NUTRAVANCE;91
06/01/2017;NUTRAVANCE;124
09/01/2017;NUTRAVANCE;86
10/01/2017;NUTRAVANCE;114
11/01/2017;NUTRAVANCE;116
12/01/2017;NUTRAVANCE;82
13/01/2017;NUTRAVANCE;72
16/01/2017;NUTRAVANCE;110
17/01/2017;NUTRAVANCE;44
18/01/2017;NUTRAVANCE;147
19/01/2017;NUTRAVANCE;96
20/01/2017;NUTRAVANCE;67
23/01/2017;NUTRAVANCE;67
24/01/2017;NUTRAVANCE;75
25/01/2017;NUTRAVANCE;72
26/01/2017;NUTRAVANCE;138
27/01/2017;NUTRAVANCE;36
30/01/2017;NUTRAVANCE;121
31/01/2017;NUTRAVANCE;138
01/02/2017;NUTRAVANCE;106
02/02/2017;NUTRAVANCE;139
03/02/2017;NUTRAVANCE;221
06/02/2017;NUTRAVANCE;241
07/02/2017;NUTRAVANCE;149
08/02/2017;NUTRAVANCE;113
09/02/2017;NUTRAVANCE;179
10/02/2017;NUTRAVANCE;84
13/02/2017;NUTRAVANCE;98
14/02/2017;NUTRAVANCE;77
15/02/2017;NUTRAVANCE;110
16/02/2017;NUTRAVANCE;84
17/02/2017;NUTRAVANCE;124
20/02/2017;NUTRAVANCE;105
21/02/2017;NUTRAVANCE;75
22/02/2017;NUTRAVANCE;115
23/02/2017;NUTRAVANCE;115
24/02/2017;NUTRAVANCE;93
27/02/2017;NUTRAVANCE;126
28/02/2017;NUTRAVANCE;182
01/03/2017;NUTRAVANCE;80
02/03/2017;NUTRAVANCE;133
03/03/2017;NUTRAVANCE;137
06/03/2017;NUTRAVANCE;92
07/03/2017;NUTRAVANCE;49
08/03/2017;NUTRAVANCE;100
09/03/2017;NUTRAVANCE;79
10/03/2017;NUTRAVANCE;105
13/03/2017;NUTRAVANCE;149
14/03/2017;NUTRAVANCE;141
15/03/2017;NUTRAVANCE;97
16/03/2017;NUTRAVANCE;172
17/03/2017;NUTRAVANCE;225
20/03/2017;NUTRAVANCE;59
21/03/2017;NUTRAVANCE;148
22/03/2017;NUTRAVANCE;99
23/03/2017;NUTRAVANCE;131
24/03/2017;NUTRAVANCE;67
27/03/2017;NUTRAVANCE;45
28/03/2017;NUTRAVANCE;156
29/03/2017;NUTRAVANCE;53
30/03/2017;NUTRAVANCE;177
31/03/2017;NUTRAVANCE;92
03/04/2017;NUTRAVANCE;71
04/04/2017;NUTRAVANCE;117
05/04/2017;NUTRAVANCE;78
06/04/2017;NUTRAVANCE;174
07/04/2017;NUTRAVANCE;71
10/04/2017;NUTRAVANCE;115
11/04/2017;NUTRAVANCE;151
12/04/2017;NUTRAVANCE;148
13/04/2017;NUTRAVANCE;135
14/04/2017;NUTRAVANCE;106
18/04/2017;NUTRAVANCE;77
19/04/2017;NUTRAVANCE;165
20/04/2017;NUTRAVANCE;103
21/04/2017;NUTRAVANCE;103
24/04/2017;NUTRAVANCE;95
25/04/2017;NUTRAVANCE;93
26/04/2017;NUTRAVANCE;65
27/04/2017;NUTRAVANCE;79
28/04/2017;NUTRAVANCE;12
02/05/2017;NUTRAVANCE;129
03/05/2017;NUTRAVANCE;128
04/05/2017;NUTRAVANCE;205
05/05/2017;NUTRAVANCE;119
09/05/2017;NUTRAVANCE;100
10/05/2017;NUTRAVANCE;185
11/05/2017;NUTRAVANCE;90
12/05/2017;NUTRAVANCE;96
15/05/2017;NUTRAVANCE;100
16/05/2017;NUTRAVANCE;79
17/05/2017;NUTRAVANCE;90
18/05/2017;NUTRAVANCE;64
19/05/2017;NUTRAVANCE;43
22/05/2017;NUTRAVANCE;46
23/05/2017;NUTRAVANCE;88
24/05/2017;NUTRAVANCE;76
26/05/2017;NUTRAVANCE;110
29/05/2017;NUTRAVANCE;18
30/05/2017;NUTRAVANCE;118
31/05/2017;NUTRAVANCE;96
01/06/2017;NUTRAVANCE;123
02/06/2017;NUTRAVANCE;96
06/06/2017;NUTRAVANCE;37
07/06/2017;NUTRAVANCE;41
08/06/2017;NUTRAVANCE;232
09/06/2017;NUTRAVANCE;47
12/06/2017;NUTRAVANCE;147
13/06/2017;NUTRAVANCE;136
14/06/2017;NUTRAVANCE;104
15/06/2017;NUTRAVANCE;54
16/06/2017;NUTRAVANCE;64
19/06/2017;NUTRAVANCE;55
20/06/2017;NUTRAVANCE;98
21/06/2017;NUTRAVANCE;28
22/06/2017;NUTRAVANCE;57
23/06/2017;NUTRAVANCE;223
26/06/2017;NUTRAVANCE;133
27/06/2017;NUTRAVANCE;83
28/06/2017;NUTRAVANCE;102
29/06/2017;NUTRAVANCE;114
30/06/2017;NUTRAVANCE;43
03/07/2017;NUTRAVANCE;179
04/07/2017;NUTRAVANCE;127
05/07/2017;NUTRAVANCE;152
06/07/2017;NUTRAVANCE;57
07/07/2017;NUTRAVANCE;121
10/07/2017;NUTRAVANCE;63
11/07/2017;NUTRAVANCE;124
12/07/2017;NUTRAVANCE;139
13/07/2017;NUTRAVANCE;66
17/07/2017;NUTRAVANCE;93
18/07/2017;NUTRAVANCE;127
19/07/2017;NUTRAVANCE;78
20/07/2017;NUTRAVANCE;121
21/07/2017;NUTRAVANCE;9
24/07/2017;NUTRAVANCE;138
25/07/2017;NUTRAVANCE;85
26/07/2017;NUTRAVANCE;261
27/07/2017;NUTRAVANCE;128
28/07/2017;NUTRAVANCE;102
31/07/2017;NUTRAVANCE;70
01/08/2017;NUTRAVANCE;6
02/08/2017;NUTRAVANCE;14
03/08/2017;NUTRAVANCE;12
04/08/2017;NUTRAVANCE;5
07/08/2017;NUTRAVANCE;7
08/08/2017;NUTRAVANCE;4
09/08/2017;NUTRAVANCE;4
10/08/2017;NUTRAVANCE;7
11/08/2017;NUTRAVANCE;2
14/08/2017;NUTRAVANCE;15
16/08/2017;NUTRAVANCE;12
17/08/2017;NUTRAVANCE;4
18/08/2017;NUTRAVANCE;16
21/08/2017;NUTRAVANCE;61
22/08/2017;NUTRAVANCE;190
23/08/2017;NUTRAVANCE;81
24/08/2017;NUTRAVANCE;142
25/08/2017;NUTRAVANCE;82
28/08/2017;NUTRAVANCE;185
29/08/2017;NUTRAVANCE;131
30/08/2017;NUTRAVANCE;90
31/08/2017;NUTRAVANCE;16
01/09/2017;NUTRAVANCE;20
04/09/2017;NUTRAVANCE;66
05/09/2017;NUTRAVANCE;309
06/09/2017;NUTRAVANCE;209
07/09/2017;NUTRAVANCE;297
08/09/2017;NUTRAVANCE;312
11/09/2017;NUTRAVANCE;365
12/09/2017;NUTRAVANCE;323
13/09/2017;NUTRAVANCE;218
14/09/2017;NUTRAVANCE;440
15/09/2017;NUTRAVANCE;418
18/09/2017;NUTRAVANCE;397
19/09/2017;NUTRAVANCE;269
20/09/2017;NUTRAVANCE;175
21/09/2017;NUTRAVANCE;90
22/09/2017;NUTRAVANCE;67
25/09/2017;NUTRAVANCE;97
26/09/2017;NUTRAVANCE;182
27/09/2017;NUTRAVANCE;69
28/09/2017;NUTRAVANCE;126
29/09/2017;NUTRAVANCE;95
30/09/2017;MINCI DELICE;167
30/09/2017;NUTRAVANCE;28
02/10/2017;MINCI DELICE;918
02/10/2017;NUTRAVANCE;56
03/10/2017;MINCI DELICE;368
03/10/2017;NUTRAVANCE;197
04/10/2017;MINCI DELICE;377
04/10/2017;NUTRAVANCE;172
05/10/2017;MINCI DELICE;283
05/10/2017;NUTRAVANCE;212
06/10/2017;MINCI DELICE;425
06/10/2017;NUTRAVANCE;134
07/10/2017;MINCI DELICE;232
07/10/2017;NUTRAVANCE;21
09/10/2017;MINCI DELICE;493
09/10/2017;NUTRAVANCE;10
10/10/2017;MINCI DELICE;595
10/10/2017;NUTRAVANCE;242
11/10/2017;MINCI DELICE;311
11/10/2017;NUTRAVANCE;247
12/10/2017;MINCI DELICE;497
12/10/2017;NUTRAVANCE;147
13/10/2017;MINCI DELICE;403
13/10/2017;NUTRAVANCE;141
16/10/2017;MINCI DELICE;814
16/10/2017;NUTRAVANCE;152
17/10/2017;MINCI DELICE;606
17/10/2017;NUTRAVANCE;146
18/10/2017;MINCI DELICE;554
18/10/2017;NUTRAVANCE;109
19/10/2017;MINCI DELICE;161
19/10/2017;NUTRAVANCE;63
20/10/2017;MINCI DELICE;317
20/10/2017;NUTRAVANCE;81
23/10/2017;MINCI DELICE;973
23/10/2017;NUTRAVANCE;73
24/10/2017;MINCI DELICE;511
24/10/2017;NUTRAVANCE;187
25/10/2017;MINCI DELICE;346
25/10/2017;NUTRAVANCE;83
26/10/2017;MINCI DELICE;516
26/10/2017;NUTRAVANCE;142
27/10/2017;MINCI DELICE;550
27/10/2017;NUTRAVANCE;89
30/10/2017;MINCI DELICE;1229
30/10/2017;NUTRAVANCE;93
31/10/2017;MINCI DELICE;420
31/10/2017;NUTRAVANCE;173
02/11/2017;MINCI DELICE;1193
02/11/2017;NUTRAVANCE;87
03/11/2017;MINCI DELICE;634
03/11/2017;NUTRAVANCE;56
04/11/2017;MINCI DELICE;240
04/11/2017;NUTRAVANCE;180
06/11/2017;MINCI DELICE;811
06/11/2017;NUTRAVANCE;17
07/11/2017;MINCI DELICE;392
07/11/2017;NUTRAVANCE;124
08/11/2017;MINCI DELICE;370
08/11/2017;NUTRAVANCE;104
09/11/2017;MINCI DELICE;185
09/11/2017;NUTRAVANCE;85
10/11/2017;MINCI DELICE;234
10/11/2017;NUTRAVANCE;27
13/11/2017;MINCI DELICE;723
13/11/2017;NUTRAVANCE;81
14/11/2017;MINCI DELICE;492
14/11/2017;NUTRAVANCE;82
15/11/2017;MINCI DELICE;437
15/11/2017;NUTRAVANCE;200
16/11/2017;MINCI DELICE;360
16/11/2017;NUTRAVANCE;75
17/11/2017;MINCI DELICE;465
17/11/2017;NUTRAVANCE;76
20/11/2017;MINCI DELICE;898
20/11/2017;NUTRAVANCE;44
21/11/2017;MINCI DELICE;455
21/11/2017;NUTRAVANCE;97
22/11/2017;MINCI DELICE;373
22/11/2017;NUTRAVANCE;53
23/11/2017;MINCI DELICE;302
23/11/2017;NUTRAVANCE;94
24/11/2017;MINCI DELICE;653
24/11/2017;NUTRAVANCE;84
25/11/2017;MINCI DELICE;298
25/11/2017;NUTRAVANCE;64
27/11/2017;MINCI DELICE;760
27/11/2017;NUTRAVANCE;25
28/11/2017;MINCI DELICE;311
28/11/2017;NUTRAVANCE;150
29/11/2017;MINCI DELICE;177
29/11/2017;NUTRAVANCE;130
30/11/2017;MINCI DELICE;242
30/11/2017;NUTRAVANCE;107
01/12/2017;MINCI DELICE;266
01/12/2017;NUTRAVANCE;77
02/12/2017;MINCI DELICE;198
02/12/2017;NUTRAVANCE;196
04/12/2017;MINCI DELICE;577
04/12/2017;NUTRAVANCE;19
05/12/2017;MINCI DELICE;393
05/12/2017;NUTRAVANCE;287
06/12/2017;MINCI DELICE;238
06/12/2017;NUTRAVANCE;162
07/12/2017;MINCI DELICE;145
07/12/2017;NUTRAVANCE;68
08/12/2017;MINCI DELICE;176
08/12/2017;NUTRAVANCE;179
09/12/2017;MINCI DELICE;120
09/12/2017;NUTRAVANCE;133
11/12/2017;MINCI DELICE;316
11/12/2017;NUTRAVANCE;10
12/12/2017;MINCI DELICE;169
12/12/2017;NUTRAVANCE;154
13/12/2017;MINCI DELICE;146
13/12/2017;NUTRAVANCE;80
14/12/2017;MINCI DELICE;887
14/12/2017;NUTRAVANCE;108
15/12/2017;MINCI DELICE;683
15/12/2017;NUTRAVANCE;147
16/12/2017;MINCI DELICE;328
18/12/2017;MINCI DELICE;1039
18/12/2017;NUTRAVANCE;186
19/12/2017;MINCI DELICE;515
19/12/2017;NUTRAVANCE;203
20/12/2017;MINCI DELICE;720
20/12/2017;NUTRAVANCE;244
21/12/2017;MINCI DELICE;644
21/12/2017;NUTRAVANCE;235
22/12/2017;MINCI DELICE;597
22/12/2017;NUTRAVANCE;163
26/12/2017;MINCI DELICE;1235
26/12/2017;NUTRAVANCE;148
27/12/2017;MINCI DELICE;982
27/12/2017;NUTRAVANCE;3
28/12/2017;MINCI DELICE;815
28/12/2017;NUTRAVANCE;6
29/12/2017;MINCI DELICE;1229
29/12/2017;NUTRAVANCE;17
02/01/2018;MINCI DELICE;3097
02/01/2018;NUTRAVANCE;32
03/01/2018;MINCI DELICE;1971
03/01/2018;NUTRAVANCE;213
04/01/2018;MINCI DELICE;1545
04/01/2018;NUTRAVANCE;100
05/01/2018;MINCI DELICE;1446
05/01/2018;NUTRAVANCE;162
06/01/2018;MINCI DELICE;885
06/01/2018;NUTRAVANCE;71
08/01/2018;MINCI DELICE;3269
08/01/2018;NUTRAVANCE;47
09/01/2018;MINCI DELICE;2372
09/01/2018;NUTRAVANCE;154
10/01/2018;MINCI DELICE;2283
10/01/2018;NUTRAVANCE;50
11/01/2018;MINCI DELICE;2210
11/01/2018;NUTRAVANCE;106
12/01/2018;MINCI DELICE;1622
12/01/2018;NUTRAVANCE;121
15/01/2018;MINCI DELICE;3543
15/01/2018;NUTRAVANCE;100
16/01/2018;MINCI DELICE;1562
16/01/2018;NUTRAVANCE;69
17/01/2018;MINCI DELICE;1270
17/01/2018;NUTRAVANCE;111
18/01/2018;MINCI DELICE;1522
18/01/2018;NUTRAVANCE;61
19/01/2018;MINCI DELICE;1323
19/01/2018;NUTRAVANCE;137
22/01/2018;MINCI DELICE;2944
22/01/2018;NUTRAVANCE;64
23/01/2018;MINCI DELICE;1895
23/01/2018;NUTRAVANCE;116
24/01/2018;MINCI DELICE;1683
24/01/2018;NUTRAVANCE;158
25/01/2018;MINCI DELICE;1157
25/01/2018;NUTRAVANCE;84
26/01/2018;MINCI DELICE;1146
26/01/2018;NUTRAVANCE;113
29/01/2018;MINCI DELICE;3804
29/01/2018;NUTRAVANCE;105
30/01/2018;MINCI DELICE;1867
30/01/2018;NUTRAVANCE;124
31/01/2018;MINCI DELICE;1654
31/01/2018;NUTRAVANCE;269
01/02/2018;MINCI DELICE;1366
01/02/2018;NUTRAVANCE;122
02/02/2018;MINCI DELICE;1349
02/02/2018;NUTRAVANCE;141
03/02/2018;MINCI DELICE;1518
05/02/2018;MINCI DELICE;2716
05/02/2018;NUTRAVANCE;111
06/02/2018;MINCI DELICE;1891
06/02/2018;NUTRAVANCE;199
07/02/2018;MINCI DELICE;1963
07/02/2018;NUTRAVANCE;184
08/02/2018;MINCI DELICE;1237
08/02/2018;NUTRAVANCE;177
09/02/2018;MINCI DELICE;1677
09/02/2018;NUTRAVANCE;93
12/02/2018;MINCI DELICE;3344
12/02/2018;NUTRAVANCE;172
13/02/2018;MINCI DELICE;1719
13/02/2018;NUTRAVANCE;106
14/02/2018;MINCI DELICE;1413
14/02/2018;NUTRAVANCE;55
15/02/2018;MINCI DELICE;1123
15/02/2018;NUTRAVANCE;136
16/02/2018;MINCI DELICE;1413
16/02/2018;NUTRAVANCE;69
19/02/2018;MINCI DELICE;3971
19/02/2018;NUTRAVANCE;102
20/02/2018;MINCI DELICE;1692
20/02/2018;NUTRAVANCE;78
21/02/2018;MINCI DELICE;1661
21/02/2018;NUTRAVANCE;95
22/02/2018;MINCI DELICE;1664
23/02/2018;MINCI DELICE;1239
23/02/2018;NUTRAVANCE;209
26/02/2018;MINCI DELICE;3812
26/02/2018;NUTRAVANCE;160
27/02/2018;MINCI DELICE;1616
27/02/2018;NUTRAVANCE;95
28/02/2018;MINCI DELICE;1650
28/02/2018;NUTRAVANCE;67
01/03/2018;MINCI DELICE;1884
01/03/2018;NUTRAVANCE;59
02/03/2018;MINCI DELICE;1711
02/03/2018;NUTRAVANCE;165
03/03/2018;MINCI DELICE;1070
03/03/2018;NUTRAVANCE;126
05/03/2018;MINCI DELICE;3315
05/03/2018;NUTRAVANCE;9
